거래년도,거래분기,동,건물용도,건물면적당_평균거래가(만원/㎡)
2014,1Q,불광동,아파트,503.25235443463293
2014,1Q,불광동,연립다세대,316.86171114591485
2014,1Q,불광동,오피스텔,317.9317077210207
2014,1Q,사근동,단독다가구,566.5472882956892
2014,1Q,사근동,아파트,397.72545081169056
2014,1Q,사근동,연립다세대,562.9236663719422
2014,1Q,사당동,단독다가구,398.5096822781312
2014,1Q,사당동,아파트,544.9589736433103
2014,1Q,사당동,연립다세대,431.79464052545194
2014,1Q,사당동,오피스텔,779.8793859649123
2014,1Q,사직동,단독다가구,506.869916714899
2014,1Q,사직동,아파트,735.1577344616205
2014,1Q,사직동,연립다세대,512.1059206864102
2014,1Q,사직동,오피스텔,786.1839728304068
2014,1Q,산림동,아파트,272.74781954801614
2014,1Q,산천동,아파트,577.0771233675448
2014,1Q,삼선동1가,단독다가구,198.3536645839532
2014,1Q,삼선동1가,연립다세대,315.26448230576636
2014,1Q,삼선동2가,단독다가구,627.9622036645154
2014,1Q,삼선동2가,아파트,490.5524171790754
2014,1Q,삼선동2가,연립다세대,309.4777562862669
2014,1Q,삼선동3가,아파트,565.491471031337
2014,1Q,삼선동3가,연립다세대,393.27350021455726
2014,1Q,삼선동4가,단독다가구,203.2741660314349
2014,1Q,삼선동4가,아파트,457.8062319821522
2014,1Q,삼선동4가,연립다세대,386.7534000160405
2014,1Q,삼선동5가,단독다가구,529.4080895424861
2014,1Q,삼선동5가,아파트,324.6026415939109
2014,1Q,삼선동5가,연립다세대,369.1799561665739
2014,1Q,삼성동,단독다가구,1546.901085823762
2014,1Q,삼성동,아파트,974.6344625281296
2014,1Q,삼성동,연립다세대,673.8389036509174
2014,1Q,삼성동,오피스텔,709.3557594959793
2014,1Q,삼전동,단독다가구,351.8296377894933
2014,1Q,삼전동,아파트,607.7149247380471
2014,1Q,삼전동,연립다세대,465.3366987278396
2014,1Q,삼청동,단독다가구,593.8427068854635
2014,1Q,상계동,단독다가구,332.3165437371858
2014,1Q,상계동,아파트,402.767652207007
2014,1Q,상계동,연립다세대,331.5808022950514
2014,1Q,상계동,오피스텔,352.96789559099426
2014,1Q,상도1동,단독다가구,398.8868511453035
2014,1Q,상도1동,아파트,531.6773653363103
2014,1Q,상도1동,연립다세대,440.82039869603454
2014,1Q,상도동,단독다가구,406.78171473744914
2014,1Q,상도동,아파트,617.7977547386126
2014,1Q,상도동,연립다세대,412.6710948170289
2014,1Q,상봉동,단독다가구,431.05977432369787
2014,1Q,상봉동,아파트,438.1413753563162
2014,1Q,상봉동,연립다세대,340.17996947672214
2014,1Q,상봉동,오피스텔,382.3706382826737
2014,1Q,상수동,단독다가구,1030.1825411169348
2014,1Q,상수동,아파트,751.0722850907141
2014,1Q,상수동,연립다세대,613.190660682122
2014,1Q,상수동,오피스텔,596.4791064251848
2014,1Q,상암동,단독다가구,1534.4852081171985
2014,1Q,상암동,아파트,702.4243298020436
2014,1Q,상암동,연립다세대,959.0898069218396
2014,1Q,상암동,오피스텔,451.54132670557755
2014,1Q,상왕십리동,아파트,753.9486992490894
2014,1Q,상월곡동,단독다가구,382.89857339795685
2014,1Q,상월곡동,아파트,396.1321891021319
2014,1Q,상월곡동,연립다세대,297.4510521003423
2014,1Q,상일동,단독다가구,285.52393642333686
2014,1Q,상일동,아파트,683.5728312255973
2014,1Q,상일동,연립다세대,469.508841129151
2014,1Q,서계동,단독다가구,752.0943008032032
2014,1Q,서계동,연립다세대,552.118327548264
2014,1Q,서계동,오피스텔,700.8655809618731
2014,1Q,서교동,단독다가구,620.6654958284428
2014,1Q,서교동,아파트,587.9914437910548
2014,1Q,서교동,연립다세대,594.6158897778621
2014,1Q,서교동,오피스텔,582.1828030302465
2014,1Q,서빙고동,단독다가구,588.6392622387913
2014,1Q,서빙고동,아파트,778.9294898322655
2014,1Q,서빙고동,연립다세대,1148.371013750191
2014,1Q,서초동,단독다가구,647.4091493915145
2014,1Q,서초동,아파트,799.9865071093849
2014,1Q,서초동,연립다세대,617.0040245868316
2014,1Q,서초동,오피스텔,637.9359644108009
