구,거래년도,거래분기,APT매매
성동구,2019,3Q,78.15291766666667
성동구,2019,4Q,79.13174433333334
성동구,2020,1Q,80.09851033333332
성동구,2020,2Q,80.57154366666667
성동구,2020,3Q,83.32029866666666
성동구,2020,4Q,86.80557633333335
성동구,2021,1Q,90.63641766666667
성동구,2021,2Q,93.41614133333333
성동구,2021,3Q,96.32826033333333
성동구,2021,4Q,99.454934
성동구,2022,1Q,100.22366815333334
성동구,2022,2Q,100.583451448
성동구,2022,3Q,100.69406258986668
성동구,2022,4Q,99.22373254450001
성동구,2023,1Q,94.0548209237
성동구,2023,2Q,91.02169854603333
성동구,2023,3Q,90.61213516999999
성동구,2023,4Q,91.39339971666668
성동구,2024,1Q,91.39410764
성동구,2024,2Q,91.83065886333333
성동구,2024,3Q,94.29110441
성북구,2014,3Q,56.320087
성북구,2014,4Q,56.503951
성북구,2015,1Q,56.832353000000005
성북구,2015,2Q,57.830777000000005
성북구,2015,3Q,58.99998433333334
성북구,2015,4Q,60.424317333333335
성북구,2016,1Q,60.91291733333333
성북구,2016,2Q,61.19989666666667
성북구,2016,3Q,61.797359
성북구,2016,4Q,62.85012566666666
성북구,2017,1Q,63.06285233333333
성북구,2017,2Q,63.174566
성북구,2017,3Q,63.92654633333333
성북구,2017,4Q,64.66199133333333
성북구,2018,1Q,65.77185899999999
성북구,2018,2Q,67.35209466666667
성북구,2018,3Q,69.717375
성북구,2018,4Q,73.54846266666667
성북구,2019,1Q,73.60659366666667
성북구,2019,2Q,73.09987666666666
성북구,2019,3Q,73.473281
성북구,2019,4Q,74.60446033333334
성북구,2020,1Q,76.12695333333333
성북구,2020,2Q,77.16317299999999
성북구,2020,3Q,81.71416166666667
성북구,2020,4Q,85.49697199999999
성북구,2021,1Q,89.78905566666667
성북구,2021,2Q,92.64548466666668
성북구,2021,3Q,96.40160466666667
성북구,2021,4Q,99.63411633333334
성북구,2022,1Q,99.90916788333334
성북구,2022,2Q,99.80264078226666
성북구,2022,3Q,99.28034983746666
성북구,2022,4Q,96.12240813536668
성북구,2023,1Q,90.69972512156666
성북구,2023,2Q,87.11229583160001
성북구,2023,3Q,85.80808007333333
성북구,2023,4Q,85.95958198333334
성북구,2024,1Q,85.67964686333333
성북구,2024,2Q,85.39608157333333
성북구,2024,3Q,86.299289575
송파구,2014,3Q,54.460077
송파구,2014,4Q,54.77734
송파구,2015,1Q,54.89404533333334
송파구,2015,2Q,55.388681999999996
송파구,2015,3Q,56.00620033333333
송파구,2015,4Q,56.841302000000006
송파구,2016,1Q,57.224055666666665
송파구,2016,2Q,57.53467066666667
송파구,2016,3Q,58.85572166666666
송파구,2016,4Q,60.229791666666664
