거래년도,거래분기,동,총직장인구수
2019,1Q,마장동,238
2019,1Q,마장동,855
2019,1Q,마장동,834
2019,1Q,마장동,3161
2019,1Q,마천동,514
2019,1Q,마천동,628
2019,1Q,마천동,832
2019,1Q,마천동,152
2019,1Q,마천동,55
2019,1Q,마천동,100
2019,1Q,마포동,16440
2019,1Q,마포동,21422
2019,1Q,마포동,484
2019,1Q,마포동,1236
2019,1Q,마포동,798
2019,1Q,마포동,2880
2019,1Q,마포동,221
2019,1Q,만리동1가,6123
2019,1Q,만리동1가,88
2019,1Q,만리동2가,6123
2019,1Q,만리동2가,88
2019,1Q,망우동,70
2019,1Q,망우동,139
2019,1Q,망우동,447
2019,1Q,망우동,573
2019,1Q,망우동,573
2019,1Q,망우동,162
2019,1Q,망우동,235
2019,1Q,망원동,3166
2019,1Q,망원동,270
2019,1Q,망원동,240
2019,1Q,망원동,149
2019,1Q,망원동,582
2019,1Q,망원동,931
2019,1Q,망원동,1334
2019,1Q,망원동,442
2019,1Q,면목동,254
2019,1Q,면목동,437
2019,1Q,면목동,451
2019,1Q,면목동,280
2019,1Q,면목동,950
2019,1Q,면목동,205
2019,1Q,면목동,438
2019,1Q,면목동,776
2019,1Q,면목동,283
2019,1Q,면목동,365
2019,1Q,면목동,980
2019,1Q,면목동,316
2019,1Q,면목동,280
2019,1Q,면목동,236
2019,1Q,면목동,215
2019,1Q,면목동,187
2019,1Q,면목동,616
2019,1Q,면목동,185
2019,1Q,면목동,196
2019,1Q,면목동,284
2019,1Q,면목동,558
2019,1Q,명동1가,19483
2019,1Q,명동1가,1211
2019,1Q,명동1가,57558
2019,1Q,명동1가,26581
2019,1Q,명동1가,24193
2019,1Q,명동1가,16089
2019,1Q,명동1가,20441
2019,1Q,명동2가,19483
2019,1Q,명동2가,1211
2019,1Q,명동2가,57558
2019,1Q,명동2가,26581
2019,1Q,명동2가,24193
2019,1Q,명동2가,16089
2019,1Q,명동2가,20441
2019,1Q,명륜1가,270
2019,1Q,명륜1가,340
2019,1Q,명륜1가,250
2019,1Q,명륜1가,487
2019,1Q,명륜1가,3560
2019,1Q,명륜2가,270
2019,1Q,명륜2가,340
2019,1Q,명륜2가,250
2019,1Q,명륜2가,487
2019,1Q,명륜2가,3560
2019,1Q,명륜3가,270
2019,1Q,명륜3가,340
2019,1Q,명륜3가,250
2019,1Q,명륜3가,487
2019,1Q,명륜3가,3560
2019,1Q,명륜4가,270
2019,1Q,명륜4가,340
2019,1Q,명륜4가,250
2019,1Q,명륜4가,487
2019,1Q,명륜4가,3560
2019,1Q,명일동,461
2019,1Q,명일동,278
2019,1Q,명일동,418
2019,1Q,명일동,1671
2019,1Q,명일동,1366
2019,1Q,목동,99
2019,1Q,목동,615
2019,1Q,목동,306
2019,1Q,목동,105
2019,1Q,목동,301
